"route","d_status","m_status","d_load","m_load","d_heading","m_heading","d_img","m_img","d_api","m_api","d_hyd","m_hyd","d_con","m_con","d_perr","m_perr","d_cta","m_cta","d_wa","m_wa","d_booking","m_booking"
"/travel/car-rental/mazda-3-2024","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/mazda-3-2025","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/mclaren-720s-2023","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/mclaren-720s-2024","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/mclaren-720s-2025","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/mercedes-c200-2023","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/mercedes-c200-2024","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/mercedes-c200-2025","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/mercedes-e300-2023","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/mercedes-e300-2024","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/mercedes-e300-2025","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/mercedes-eqe-2025","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/mitsubishi-attrage-2023","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/mitsubishi-attrage-2024","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/mitsubishi-attrage-2025","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/nissan-altima-2023","200","200","True","True","False","False","2","1","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/nissan-altima-2024","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/nissan-altima-2025","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/nissan-sunny-2023","200","200","True","True","False","False","2","1","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/nissan-sunny-2024","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/nissan-sunny-2025","200","200","True","True","False","False","1","2","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/porsche-911-2023","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/porsche-911-2024","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/porsche-911-2025","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/renault-symbol-2024","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/suzuki-ciaz-2025","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/tesla-model3-2023","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/tesla-model3-2024","200","200","True","True","False","False","2","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/tesla-model3-2025","200","200","True","True","False","False","0","1","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/tesla-models-2024","200","200","True","True","False","False","2","2","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/tesla-models-2025","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/tesla-modely-2023","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/tesla-modely-2024","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/tesla-modely-2025","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/toyota-corolla-2023","200","200","True","True","False","False","2","1","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/toyota-corolla-2024","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/toyota-corolla-2025","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/toyota-yaris-2023","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/toyota-yaris-2024","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/toyota-yaris-2025","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/volvo-s90-2025","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/car-rental/vw-jetta-2025","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","3","3","1","1","False","False"
"/travel/flights","200","200","True","True","False","False","0","0","0","0","0","0","0","0","0","0","2","2","0","0","True","True"
"/travel/hotels","200","200","True","True","False","False","2","0","0","0","0","0","0","0","0","0","28","28","0","0","False","False"
"/travel/jets","200","200","True","True","False","False","1","1","0","0","0","0","0","0","0","0","13","13","0","0","False","False"
